policy,dataset,count,body_pos_m,body_ori_rad,global_root_m,wrist_pos_m,wrist_ori_rad,tracking_return,progress
scalebfm_xl,manipulation,48,0.037749816935199,0.11719102249480784,,0.04832395298096041,0.15200540935620666,1.865413308554716,1.0
scalebfm_xl,ground,60,0.08361077265193065,0.2748462792485952,,0.101431646818916,0.3327033365766207,1.6414760702003406,0.9580293160429142
scalebfm_xl,dance,40,0.047755959630012515,0.18887436352670192,,0.05947523508220911,0.2975462473928928,1.705322259114417,1.0
sonic_g1,locomotion,80,0.028732619737274943,0.1506453632377088,0.3633348483592272,0.030148559901863336,0.21080264318734407,1.8165884624831001,1.0
sonic_g1,manipulation,48,0.04547353515711924,0.17018768920873603,,0.05674753473916402,0.24454338879634938,1.7294178020764737,1.0
sonic_g1,ground,60,0.0803022903079788,0.3549287075797717,,0.09198895320296288,0.48100265065828957,1.2634366863496902,0.862945043083211
sonic_g1,dance,40,0.04865016900002957,0.27171200811862944,,0.06346561498939991,0.47162035331130026,1.482778662083648,0.9889945652173913
sonic_low_latency,locomotion,80,0.03073314225766808,0.1564748365432024,0.8893161617219448,0.033235412533394994,0.17710258401930332,1.8116385873899319,1.0
sonic_low_latency,manipulation,48,0.038950108302136265,0.17102389953409633,,0.044052942850006126,0.23567785322666168,1.7614653800834281,1.0
sonic_low_latency,ground,60,0.1114952183018128,0.49258489633599917,,0.12915602816889685,0.6217303177962701,1.008317273759117,0.7273921212416979
sonic_low_latency,dance,40,0.05364042082801461,0.2989570204168558,,0.07221738789230585,0.49515361785888673,1.4090012432349683,0.9651380730054677
sonic_v1_1,locomotion,80,0.02955476166680455,0.15836953073740007,0.6231905802618712,0.03197598543483764,0.16265328647568822,1.8149480103766067,1.0
sonic_v1_1,manipulation,48,0.040674171914967396,0.1613793953632315,,0.04467846631693343,0.17164197020853558,1.7798902370003757,1.0
sonic_v1_1,ground,60,0.11670980167885621,0.4931022067864736,,0.13139173208425442,0.5573339318235715,1.0182050282727582,0.7134487439362819
sonic_v1_1,dance,40,0.05287118358537555,0.287787351757288,,0.07065862156450749,0.44930898696184157,1.461695371410032,0.9884943181818182
teleopit,locomotion,80,0.03624937806744129,0.14626557854935526,0.33986674901098013,0.04664866931270808,0.19705260843038558,1.8305194399283635,1.0
teleopit,manipulation,48,0.03622039221227169,0.15150248243783912,,0.04626972205005586,0.22053897908578315,1.8105579559790241,1.0
teleopit,ground,60,0.1295540583630403,0.48527874623735745,,0.15038379766047,0.5395981622238953,1.317114937928419,0.8661815063255016
teleopit,dance,40,0.05833010086789727,0.25772663243114946,,0.0831872958689928,0.41839486360549927,1.475202501250543,0.9513525784295167
twist2,locomotion,80,0.05683653694577515,0.3414729733020067,3.867755672335625,0.07531686425209046,0.6519752841442823,1.3002345705332234,0.950257885254999
twist2,manipulation,48,0.04376518648738662,0.33804905725022155,,0.06264394475147128,0.6452690623700619,1.3865903133962385,0.9814094896331739
twist2,ground,60,0.09326080586761236,0.503888928393523,,0.11142121590673923,0.7828519915541013,0.48521281942276456,0.3887445047630183
twist2,dance,40,0.07156919380649925,0.4201771646738052,,0.11344811376184225,0.7813531771302223,0.7484622140113639,0.6040827164697155
